"COD1","COD2","NRODESP","CPBTE","ENTRADA","SALIDAS","STOCK","FECENT","FECUSAL"
"A","79","20001IC04192939W","181120","76","77","-1","2020-11-24","2025-02-03"
"A","79","21001IC04054806N","190321","52","52","0.0000","2021-03-23","2024-11-22"
"A","79","21001IC04161492N","240821","50","49","1","2021-08-30","2024-09-16"
"A","79","21001IC04245806P","131221","50","50","0.0000","2021-12-17","2024-01-15"
"A","79","21001IC05014592M","280621","50","34","16","2021-06-30","2025-04-01"
"A","79","22001IC04105136H","160522","50","50","0.0000","2022-05-20","2024-09-23"
"A","79","22001IC05023281X","260922","50","6","44","2022-09-26","2024-09-16"
"A","80","11001IC04199085V","61011","51","51","0.0000","2011-10-11","2011-10-17"
"A","80","16001IC04087468E","80916","210","210","0.0000","2016-09-12","2019-04-23"
"A","80","17001IC04180892A","80917","100","100","0.0000","2017-09-15","2021-10-04"
"A","80","18001IC04080837W","90418","104","104","0.0000","2018-04-13","2022-10-12"
"A","80","19001IC04015932R","240119","100","82","18","2019-01-28","2024-11-12"
"A","80","19001IC04158500Z","60919","50","20","30","2019-09-11","2021-11-24"
"A","80","20001IC04111282E","200720","75","30","45","2020-07-23","2022-03-03"
"A","80","20001IC04192939W","181120","75","44","31","2020-11-24","2025-02-26"
"A","80","21001IC04054806N","190321","52","51","1","2021-03-23","2024-12-16"
"A","80","21001IC04161492N","240821","50","21","29","2021-08-30","2024-11-21"
"A","80","21001IC04245806P","131221","50","50","0.0000","2021-12-17","2025-02-03"
"A","80","21001IC05014592M","280621","50","50","0.0000","2021-06-30","2024-08-22"
"A","80","22001IC04105136H","160522","50","50","0.0000","2022-05-20","2024-01-05"
"A","80","22001IC05023281X","260922","50","50","0.0000","2022-09-26","2024-07-23"
"A","80","23001IC04049866C","280323","100","0.0000","100","2023-03-30","2023-03-30"
"A","80","23001IC04174792W","181023","76","6","70","2023-10-27","2024-07-10"
"A","81","11001IC04199085V","61011","52","52","0.0000","2011-10-11","2011-10-17"
"A","81","16001IC04087468E","80916","105","105","0.0000","2016-09-12","2019-01-11"
"A","81","18001IC04080837W","90418","105","105","0.0000","2018-04-13","2022-03-21"
"A","81","19001IC04015932R","240119","100","100","0.0000","2019-01-28","2021-11-18"
"A","81","19001IC04158500Z","60919","74","72","2","2019-09-11","2023-02-07"
"A","81","20001IC04192939W","181120","75","73","2","2020-11-24","2024-06-06"
"A","81","21001IC04054806N","190321","52","47","5","2021-03-23","2025-01-13"
"A","81","21001IC04161492N","240821","50","50","0.0000","2021-08-30","2024-11-27"
"A","81","21001IC04245806P","131221","50","25","25","2021-12-17","2025-01-16"
"A","81","21001IC05014592M","280621","50","6","44","2021-06-30","2023-07-04"
"A","81","22001IC04105136H","160522","50","18","32","2022-05-20","2024-07-31"
