"FECHA","FACA","FACB","FACC","NCA","NCB","NCC","NDA","NDB","NDC","MOSTA","MOSTB","MOSTC","NCMOSTA","NCMOSTB","NCMOSTC","UNIDA","UNIDB","UNIDC","DEV","MOSTDEV","UNMOSTA","UNMOSTB","UNMOSTC","PVTA","PCOS","PESP","PESPA","PESPB","PESPC","PESPMOSTA","PESPMOSTB","PESPMOSTC","EXPA","EXPB","NCEXPA","NCEXPB","PESPEXPA","PESPEXPB","UNEXPA","UNEXPB","UNEXPC","EXPDEV","ACUCPRAS","USUARIO","FACTUAL"
"2010-03-18","10","0","0","2","0","0","0","0","0","0","0","0","0","0","0","513","0","0","0","0","0","0","0","42822.2132","0.0000","42822.2132","42822.2132","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0.0000","0.0000","0","0","0","0","0.0000","      ","2010-03-18"
"2010-03-19","13","0","0","2","0","0","1","0","0","0","0","0","0","0","0","489","0","0","0","0","0","0","0","20469.7046","0.0000","20469.7046","20469.7046","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0.0000","0.0000","0","0","0","0","0.0000","      ","2010-03-19"
"2010-03-22","13","0","0","3","0","0","0","0","0","0","0","0","0","0","0","778","0","0","0","0","0","0","0","24461.8472","0.0000","24461.8472","24461.8472","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0.0000","0.0000","0","0","0","0","0.0000","      ","2010-03-22"
"2010-03-23","14","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1016","0","0","0","0","0","0","0","40107.2594","0.0000","40107.2594","40107.2594","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0.0000","0.0000","0","0","0","0","0.0000","      ","2010-03-23"
"2010-03-25","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","112","0","0","0","0","0","0","0","20321.3653","0.0000","20321.3653","20321.3653","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0.0000","0.0000","0","0","0","0","0.0000","      ","2010-03-25"
"2010-03-26","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","802","0","0","0","0","0","0","0","13988.5185","0.0000","13988.5185","13988.5185","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0.0000","0.0000","0","0","0","0","0.0000","      ","2010-03-26"
"2010-03-29","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1217","0","0","0","0","0","0","0","21870.9516","0.0000","21870.9516","21870.9516","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0.0000","0.0000","0","0","0","0","0.0000","      ","2010-03-29"
"2010-03-30","18","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1483","0","0","0","0","0","0","0","41204.4795","0.0000","41204.4795","41204.4795","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0.0000","0.0000","0","0","0","0","0.0000","      ","2010-03-30"
"2010-03-31","19","0","0","1","0","0","1","0","0","0","0","0","0","0","0","923","0","0","0","0","0","0","0","51241.5954","0.0000","51241.5954","51241.5954","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0.0000","0.0000","0","0","0","0","0.0000","      ","2010-03-31"
"2010-04-01","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","-2","0","0","0","0","0","0","0","-9118.2688","0.0000","-9118.2688","-9118.2688","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0.0000","0.0000","0","0","0","0","0.0000","      ","2010-04-01"
"2010-04-05","20","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1305","0","0","0","0","0","0","0","37398.0519","0.0000","37398.0519","37398.0519","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0.0000","0.0000","0","0","0","0","0.0000","      ","2010-04-05"
"2010-04-06","16","0","0","3","0","0","0","0","0","0","0","0","0","0","0","328","0","0","0","0","0","0","0","11034.9921","0.0000","11034.9921","11034.9921","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0.0000","0.0000","0","0","0","0","0.0000","      ","2010-04-06"
"2010-04-07","20","0","0","3","0","0","1","0","0","0","0","0","0","0","0","882","0","0","0","0","0","0","0","30050.3892","0.0000","30050.3892","30050.3892","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0.0000","0.0000","0","0","0","0","0.0000","      ","2010-04-07"
