"CTAB","COD","DESCRI","ALF1","ALF2","ALF3","ALF4","ALF5","ALF6","ALF7","ALF8","NUMSD1","NUMSD2","NUMSD3","NUMCD1","NUMCD2","NUMCD3","FECHA1","FECHA2","MCA1","MCA2","MCA3","USUARIO","FECACT"
"SC   ","MHR12     ","MANG. HIDR. R12","NRO  ","     ","     ","     ","     ","     ","MTRS ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","1","0","          ","2006-11-25"
"SC   ","MHR2      ","MANG. HIDR. R2","NRO  ","     ","     ","     ","     ","     ","MTRS ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","1","0","          ","2006-11-25"
"SC   ","MOL       ","MOLDEADO DE CAUCHO","NRO  ","     ","     ","     ","     ","     ","UNID ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","1","1","0","          ","2006-03-22"
"ZN   ","20        ","IRENE","     ","     ","     ","     ","     ","     ","     ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2006-10-12"
"VD   ","20        ","IRENE","     ","     ","     ","     ","     ","     ","     ","     ","20","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2006-10-12"
"SC   ","MOP       ","MANGUERA OIL PRESS","NRO  ","     ","     ","     ","     ","     ","UNID ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","1","1","0","          ","2006-03-22"
"SC   ","O         ","SECC. ""O""","NRO  ","     ","     ","     ","     ","     ","UNID ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","1","1","0","          ","2005-08-09"
"SC   ","PISO      ","PISO DE GOMA","NRO  ","     ","     ","     ","     ","     ","MTRS ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","1","0","          ","2005-08-09"
"SC   ","PL        ","PLAYLON","MILIM","TELAS","     ","PULG ","     ","     ","MTRS ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","1","1","0","          ","2005-08-16"
"SC   ","SF        ","SIN FIN","TELAS","     ","     ","PULG2","MTRS3","     ","UNID ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","1","1","0","          ","2005-08-09"
"UM   ","KG        ","KILOS","     ","     ","     ","     ","     ","     ","     ","     ","2","0","2","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2005-08-04"
"UM   ","MILIM     ","MM","     ","     ","     ","     ","     ","     ","     ","     ","1","0","3","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2005-07-27"
"UM   ","MM1       ","MM","     ","     ","     ","     ","     ","     ","     ","     ","2","1","3","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2005-09-27"
"UM   ","MM2       ","MM","     ","     ","     ","     ","     ","     ","     ","     ","1","2","3","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2006-10-23"
"UM   ","MTRS      ","MTRS","     ","     ","     ","     ","     ","     ","     ","     ","3","0","2","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2005-07-27"
"UM   ","MTRS2     ","MTRS","     ","     ","     ","     ","     ","     ","     ","     ","2","2","2","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2005-07-27"
"UM   ","MTRS3     ","MTRS","     ","     ","     ","     ","     ","     ","     ","     ","2","3","2","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2005-07-27"
"UM   ","NRO       ","","     ","     ","     ","     ","     ","     ","     ","     ","5","0","1","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2005-08-10"
"UM   ","PULG      ","PULG","     ","     ","     ","     ","     ","     ","     ","     ","2","0","1","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2005-07-27"
"UM   ","PULG2     ","PULG","     ","     ","     ","     ","     ","     ","     ","     ","2","1","1","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2005-07-27"
"UM   ","PULG3     ","PULG","     ","     ","     ","     ","     ","     ","     ","     ","3","1","2","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2006-10-22"
"UM   ","TELA2     ","TELAS","     ","     ","     ","     ","     ","     ","     ","     ","2","0","4","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2005-07-27"
"UM   ","TELAS     ","TELAS","     ","     ","     ","     ",,,,,"1","0","4","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","clever    ","2004-08-20"
"UM   ","UNID      ","UNID","     ","     ","     ","     ","     ","     ","     ","     ","8","0","6","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2005-07-27"
"UM   ","MM3       ","MM","     ","     ","     ","     ","     ","     ","     ","     ","3","0","1","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2007-01-29"
"SC   ","AV11      ","AV11","NRO  ","     ","     ","     ","     ","     ","UNID ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","1","0","          ","2007-05-08"
"SC   ","AC        ","ACARREADOR","MTRS ","     ","     ","     ","     ","     ","MTRS ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","1","0","          ","2007-05-11"
"VD   ","19        ","POSIDENTE","     ","     ","     ","     ","     ","     ","     ","     ","19","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2007-05-11"
"ZN   ","19        ","POSIDENTE","     ","     ","     ","     ","     ","     ","     ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2007-05-11"
"CV   ","10        ","CH45/120/150/180","     ","     ","     ","     ","     ","     ","     ","     ","0","0","10","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2007-05-23"
"CV   ","11        ","CONTADO CHEQUE","     ","     ","     ","     ","     ","     ","     ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2007-05-23"
"VD   ","21        ","MELIN","     ","     ","     ","     ","     ","     ","     ","     ","21","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2007-12-03"
"ZN   ","21        ","MELIN","     ","     ","     ","     ","     ","     ","     ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2007-12-03"
"CV   ","12        ","VAL.30/60/90/120/150/180/210/240","     ","     ","     ","     ","     ","     ","     ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2007-12-05"
"VD   ","22        ","JAVIER LUQUE","     ","     ","     ","     ","     ","     ","     ","     ","22","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2008-03-13"
"ZN   ","22        ","JAVIER LUQUE","     ","     ","     ","     ","     ","     ","     ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2008-03-13"
"SC   ","MSAN      ","MANGUERA SANITARIA","NRO  ","     ","     ","     ","     ","     ","UNID ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","1","1","0","          ","2008-04-17"
"VD   ","23        ","ELIO ALLEVATO","     ","     ","     ","     ","     ","     ","     ","     ","23","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2008-06-20"
